,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
40989,SAZV,medium_airport,Villa Gesell Airport,32.0,SA,AR,AR-B,Villa Gesell,SAZV,VLG,GES,"-37.2354, -57.0292"
40990,SAZW,medium_airport,Cutral-Co Airport,2132.0,SA,AR,AR-Q,Cutral-Co,SAZW,CUT,CUT,"-38.939701080300004, -69.2646026611"
40992,SAZY,medium_airport,Aviador C. Campos Airport,2569.0,SA,AR,AR-Q,Chapelco/San Martin de los Andes,SAZY,CPC,CHP,"-40.075401, -71.137299"
41014,SBBP,small_airport,Estadual Arthur Siqueira Airport,2887.0,SA,BR,BR-SP,Bragança Paulista,SBBP,BJP,SBBP,"-22.979162, -46.537508"
41017,SBBT,medium_airport,Chafei Amsei Airport,1898.0,SA,BR,BR-SP,Barretos,SNBA,BAT,SNBA,"-20.584499359131, -48.594100952148"
41059,SBGU,small_airport,Tancredo Thomas de Faria Airport,3494.0,SA,BR,BR-PR,Guarapuava,SSGG,GPB,PR0009,"-25.387501, -51.520199"
41082,SBLN,medium_airport,Lins Airport,1559.0,SA,BR,BR-SP,Lins,SWXQ,LIP,SWXQ,"-21.663999557495, -49.730499267578"
41087,SBMC,medium_airport,Minaçu Airport,1401.0,SA,BR,BR-GO,Minaçu,SWIQ,MQH,SWIQ,"-13.5491, -48.195301"
41111,SBPN,medium_airport,Porto Nacional Airport,870.0,SA,BR,BR-TO,Porto Nacional,SDPE,PNB,TO0003,"-10.719402, -48.3997"
41733,SDAM,small_airport,Amarais Airport,2008.0,SA,BR,BR-SP,Campinas,SDAM,CPQ,SDAM,"-22.85919952392578, -47.10820007324219"
41756,SDBK,small_airport,Botucatu - Tancredo de Almeida Neves Airport,3012.0,SA,BR,BR-SP,Botucatu,SDBK,QCJ,SDBK,"-22.939501, -48.467999"
41778,SDCG,small_airport,Senadora Eunice Micheles Airport,335.0,SA,BR,BR-AM,São Paulo De Olivença,SDCG,OLC,SDCG,"-3.46792950765, -68.9204120636"
41786,SDCO,small_airport,Sorocaba Airport,2077.0,SA,BR,BR-SP,Sorocaba,SDCO,SOD,SDCO,"-23.478001, -47.490002"
41815,SDDR,small_airport,Dracena Airport,1220.0,SA,BR,BR-SP,Dracena,SDDR,QDC,SDDR,"-21.460500717163086, -51.60689926147461"
41928,SDI,small_airport,Saidor Airport,83.0,OC,PG,PG-MPM,Saidor,AYSD,SDI,SDA,"-5.62713888889, 146.462777778"
41966,SDJL,small_airport,Jales Airport,1496.0,SA,BR,BR-SP,Jales,SDJL,JLS,SDJL,"-20.292999267578125, -50.5463981628418"
