Número de Ticket,Status,Destino,Humedad,Temperatura,Temperatura Minima,Temperatura Máxima,Presión Atmosférica
316,Petición completada,Cancun,94,298.92,298.71,299.15,94
317,Petición completada,Mexico,74,302.15,302.15,302.15,74
318,Petición completada,Mexico,74,302.15,302.15,302.15,74
319,Petición completada,Mexico,74,302.15,302.15,302.15,74
320,Petición completada,Mexico,74,302.15,302.15,302.15,74
321,Petición completada,Mexico,74,302.15,302.15,302.15,74
322,Petición completada,Mexico,74,302.15,302.15,302.15,74
323,Petición completada,Cancun,94,298.92,298.71,299.15,94
324,Petición completada,Cancun,94,298.92,298.71,299.15,94
325,Petición completada,Cancun,94,298.92,298.71,299.15,94
326,Petición completada,Cancun,94,298.92,298.71,299.15,94
327,Petición completada,Cancun,94,298.92,298.71,299.15,94
328,Petición completada,Cancun,94,298.92,298.71,299.15,94
329,Petición completada,Cancun,94,298.92,298.71,299.15,94
330,Petición completada,Cancun,94,298.92,298.71,299.15,94
331,Petición completada,Cancun,94,298.92,298.71,299.15,94
332,Petición completada,Cancun,94,298.92,298.71,299.15,94
333,Petición completada,Cancun,94,298.92,298.71,299.15,94
334,Petición completada,Cancun,94,298.92,298.71,299.15,94
335,Petición completada,Cancun,94,298.92,298.71,299.15,94
336,Petición completada,Cancun,94,298.92,298.71,299.15,94
337,Petición completada,Cancun,94,298.92,298.71,299.15,94
338,Petición completada,Mexico,74,302.15,302.15,302.15,74
339,Petición completada,Cancun,94,298.92,298.71,299.15,94
340,Petición completada,Cancun,94,298.92,298.71,299.15,94
341,Petición completada,Cancun,94,298.92,298.71,299.15,94
342,Petición completada,Cancun,94,298.92,298.71,299.15,94
343,Petición completada,Cancun,94,298.92,298.71,299.15,94
344,Petición completada,Cancun,94,298.92,298.71,299.15,94
345,Petición completada,Cancun,94,298.92,298.71,299.15,94
346,Petición completada,Cancun,94,298.92,298.71,299.15,94
347,Petición completada,Mexico,74,302.15,302.15,302.15,74
348,Petición completada,Mexico,74,302.15,302.15,302.15,74
349,Petición completada,Mexico,74,302.15,302.15,302.15,74
350,Petición completada,Cancun,94,298.92,298.71,299.15,94
351,Petición completada,Cancun,94,298.92,298.71,299.15,94
352,Petición completada,Cancun,94,298.92,298.71,299.15,94
353,Petición completada,Cancun,94,298.92,298.71,299.15,94
354,Petición completada,Cancun,94,298.92,298.71,299.15,94
355,Petición completada,Cancun,94,298.92,298.71,299.15,94
356,Petición completada,Cancun,94,298.92,298.71,299.15,94
357,Petición completada,Mexico,74,302.15,302.15,302.15,74
358,Petición completada,Tijuana,88,293.4,292.15,295.37,88
359,Petición completada,Mexico,74,302.15,302.15,302.15,74
360,Petición completada,Tijuana,88,293.4,292.15,295.37,88
361,Petición completada,Sonora,25,294.25,292.59,295.93,25
362,Petición completada,Mexico,74,302.15,302.15,302.15,74
363,Petición completada,Campeche,97,296.6,296.6,296.6,97
364,Petición completada,Campeche,97,296.6,296.6,296.6,97
365,Petición completada,Mexico,74,302.15,302.15,302.15,74
366,Petición completada,Mexico,74,302.15,302.15,302.15,74
367,Petición completada,Merida,94,298.15,298.15,298.15,94
368,Petición completada,Merida,94,298.15,298.15,298.15,94
369,Petición completada,Mexico,74,302.15,302.15,302.15,74
370,Petición completada,Merida,94,298.15,298.15,298.15,94
371,Petición completada,Mexico,74,302.15,302.15,302.15,74
372,Petición completada,Quintana Roo,90,296.76,296.76,296.76,90
373,Petición completada,Quintana Roo,90,296.76,296.76,296.76,90
374,Petición completada,Mexico,74,302.15,302.15,302.15,74
375,Petición completada,Mexico,74,302.15,302.15,302.15,74
376,Petición completada,Mexico,74,302.15,302.15,302.15,74
377,Petición completada,Mexico,74,302.15,302.15,302.15,74
378,Petición completada,Mexico,74,302.15,302.15,302.15,74
379,Petición completada,Mexico,74,302.15,302.15,302.15,74
380,Petición completada,Quintana Roo,90,296.76,296.76,296.76,90
381,Petición completada,Quintana Roo,90,296.76,296.76,296.76,90
382,Petición completada,Quintana Roo,90,296.76,296.76,296.76,90
383,Petición completada,Quintana Roo,90,296.76,296.76,296.76,90
384,Petición completada,Mexico,74,302.15,302.15,302.15,74
385,Petición completada,Mexico,74,302.15,302.15,302.15,74
386,Petición completada,Mexico,74,302.15,302.15,302.15,74
387,Petición completada,Mexico,74,302.15,302.15,302.15,74
388,Petición completada,Veracruz,69,301.15,301.15,301.15,69
389,Petición completada,Veracruz,69,301.15,301.15,301.15,69
390,Petición completada,Veracruz,69,301.15,301.15,301.15,69
391,Petición completada,Veracruz,69,301.15,301.15,301.15,69
392,Petición completada,Veracruz,69,301.15,301.15,301.15,69
393,Petición completada,Veracruz,69,301.15,301.15,301.15,69
394,Petición completada,Veracruz,69,301.15,301.15,301.15,69
395,Petición completada,Mexico,74,302.15,302.15,302.15,74
396,Petición completada,Mexico,74,302.15,302.15,302.15,74
397,Petición completada,Mexico,74,302.15,302.15,302.15,74
398,Petición completada,Mexico,74,302.15,302.15,302.15,74
399,Petición completada,Mexico,74,302.15,302.15,302.15,74
400,Petición completada,Mexico,74,302.15,302.15,302.15,74
401,Petición completada,Mexico,74,302.15,302.15,302.15,74
402,Petición completada,Mexico,74,302.15,302.15,302.15,74
403,Petición completada,Mexico,74,302.15,302.15,302.15,74
404,Petición completada,Mexico,74,302.15,302.15,302.15,74
405,Petición completada,Mexico,74,302.15,302.15,302.15,74
406,Petición completada,Mexico,74,302.15,302.15,302.15,74
407,Petición completada,Mexico,74,302.15,302.15,302.15,74
408,Petición completada,Mexico,74,302.15,302.15,302.15,74
409,Petición completada,Oaxaca,27,296.15,296.15,296.15,27
410,Petición completada,Mexico,74,302.15,302.15,302.15,74
411,Petición completada,Oaxaca,27,296.15,296.15,296.15,27
412,Petición completada,Oaxaca,27,296.15,296.15,296.15,27
413,Petición completada,Mexico,74,302.15,302.15,302.15,74
414,Petición completada,Mexico,74,302.15,302.15,302.15,74
415,Petición completada,Guerrero,79,292.19,292.19,292.19,79
416,Petición completada,Guerrero,79,292.19,292.19,292.19,79
417,Petición completada,Guerrero,79,292.19,292.19,292.19,79
418,Petición completada,Guerrero,79,292.19,292.19,292.19,79
419,Petición completada,Guerrero,79,292.19,292.19,292.19,79
420,Petición completada,Mexico,74,302.15,302.15,302.15,74
421,Petición completada,Mexico,74,302.15,302.15,302.15,74
422,Petición completada,Mexico,74,302.15,302.15,302.15,74
423,Petición completada,Mexico,74,302.15,302.15,302.15,74
424,Petición completada,Mexico,74,302.15,302.15,302.15,74
425,Petición completada,Mexico,74,302.15,302.15,302.15,74
426,Petición completada,Mexico,74,302.15,302.15,302.15,74
427,Petición completada,Jalisco,88,293.15,293.15,293.15,88
428,Petición completada,Jalisco,88,293.15,293.15,293.15,88
429,Petición completada,Mexico,74,302.15,302.15,302.15,74
430,Petición completada,Jalisco,88,293.15,293.15,293.15,88
431,Petición completada,Jalisco,88,293.15,293.15,293.15,88
432,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
433,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
434,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
435,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
436,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
437,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
438,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
439,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
440,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
441,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
442,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
443,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
444,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
445,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
446,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
447,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
448,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
449,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
450,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
451,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
452,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
453,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
454,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
455,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
456,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
457,Petición completada,-120.219-771.143,82,290.02,289.82,290.15,82
